,future,rate,open,close,open_perp,close_perp
2021-10-23T21:00:00+00:00,MKR-PERP,7.9e-05,2499.0,2511.5,2506.5,2517.0
2021-10-23T22:00:00+00:00,MKR-PERP,8.1e-05,2511.5,2508.0,2517.0,2513.0
2021-10-23T22:00:00+00:00,MKR-PERP,8.1e-05,2511.5,2508.0,2517.0,2513.0
2021-10-23T22:00:00+00:00,MKR-PERP,8.1e-05,2511.5,2508.0,2517.0,2513.0
2021-10-23T22:00:00+00:00,MKR-PERP,8.1e-05,2511.5,2508.0,2517.0,2513.0
2021-10-23T23:00:00+00:00,MKR-PERP,6.9e-05,2508.0,2523.5,2513.0,2531.0
2021-10-23T23:00:00+00:00,MKR-PERP,6.9e-05,2508.0,2523.5,2513.0,2531.0
2021-10-23T23:00:00+00:00,MKR-PERP,6.9e-05,2508.0,2523.5,2513.0,2531.0
2021-10-23T23:00:00+00:00,MKR-PERP,6.9e-05,2508.0,2523.5,2513.0,2531.0
2021-10-24T00:00:00+00:00,MKR-PERP,7.2e-05,2523.5,2518.5,2531.0,2525.5
2021-10-24T00:00:00+00:00,MKR-PERP,7.2e-05,2523.5,2518.5,2531.0,2525.5
2021-10-24T00:00:00+00:00,MKR-PERP,7.2e-05,2523.5,2518.5,2531.0,2525.5
2021-10-24T00:00:00+00:00,MKR-PERP,7.2e-05,2523.5,2518.5,2531.0,2525.5
2021-10-24T01:00:00+00:00,MKR-PERP,6.2e-05,2518.5,2515.5,2525.5,2521.0
2021-10-24T01:00:00+00:00,MKR-PERP,6.2e-05,2518.5,2515.5,2525.5,2521.0
2021-10-24T01:00:00+00:00,MKR-PERP,6.2e-05,2518.5,2515.5,2525.5,2521.0
2021-10-24T01:00:00+00:00,MKR-PERP,6.2e-05,2518.5,2515.5,2525.5,2521.0
2021-10-24T02:00:00+00:00,MKR-PERP,7.1e-05,2515.5,2511.0,2521.0,2517.0
2021-10-24T02:00:00+00:00,MKR-PERP,7.1e-05,2515.5,2511.0,2521.0,2517.0
2021-10-24T02:00:00+00:00,MKR-PERP,7.1e-05,2515.5,2511.0,2521.0,2517.0
2021-10-24T02:00:00+00:00,MKR-PERP,7.1e-05,2515.5,2511.0,2521.0,2517.0
2021-10-24T03:00:00+00:00,MKR-PERP,7.3e-05,2511.0,2506.5,2517.0,2514.5
2021-10-24T03:00:00+00:00,MKR-PERP,7.3e-05,2511.0,2506.5,2517.0,2514.5
2021-10-24T03:00:00+00:00,MKR-PERP,7.3e-05,2511.0,2506.5,2517.0,2514.5
2021-10-24T03:00:00+00:00,MKR-PERP,7.3e-05,2511.0,2506.5,2517.0,2514.5
2021-10-24T04:00:00+00:00,MKR-PERP,6.7e-05,2506.5,2506.5,2514.5,2512.5
2021-10-24T04:00:00+00:00,MKR-PERP,6.7e-05,2506.5,2506.5,2514.5,2512.5
2021-10-24T04:00:00+00:00,MKR-PERP,6.7e-05,2506.5,2506.5,2514.5,2512.5
2021-10-24T04:00:00+00:00,MKR-PERP,6.7e-05,2506.5,2506.5,2514.5,2512.5
2021-10-24T05:00:00+00:00,MKR-PERP,6.1e-05,2506.5,2514.0,2512.5,2518.0
2021-10-24T05:00:00+00:00,MKR-PERP,6.1e-05,2506.5,2514.0,2512.5,2518.0
2021-10-24T05:00:00+00:00,MKR-PERP,6.1e-05,2506.5,2514.0,2512.5,2518.0
2021-10-24T05:00:00+00:00,MKR-PERP,6.1e-05,2506.5,2514.0,2512.5,2518.0
2021-10-24T06:00:00+00:00,MKR-PERP,6.4e-05,2514.0,2501.0,2518.0,2506.5
2021-10-24T06:00:00+00:00,MKR-PERP,6.4e-05,2514.0,2501.0,2518.0,2506.5
2021-10-24T06:00:00+00:00,MKR-PERP,6.4e-05,2514.0,2501.0,2518.0,2506.5
2021-10-24T06:00:00+00:00,MKR-PERP,6.4e-05,2514.0,2501.0,2518.0,2506.5
2021-10-24T07:00:00+00:00,MKR-PERP,5.4e-05,2501.0,2501.0,2506.5,2506.0
2021-10-24T07:00:00+00:00,MKR-PERP,5.4e-05,2501.0,2501.0,2506.5,2506.0
2021-10-24T07:00:00+00:00,MKR-PERP,5.4e-05,2501.0,2501.0,2506.5,2506.0
2021-10-24T07:00:00+00:00,MKR-PERP,5.4e-05,2501.0,2501.0,2506.5,2506.0
2021-10-24T08:00:00+00:00,MKR-PERP,5.3e-05,2501.0,2491.0,2506.0,2496.0
2021-10-24T08:00:00+00:00,MKR-PERP,5.3e-05,2501.0,2491.0,2506.0,2496.0
2021-10-24T08:00:00+00:00,MKR-PERP,5.3e-05,2501.0,2491.0,2506.0,2496.0
2021-10-24T08:00:00+00:00,MKR-PERP,5.3e-05,2501.0,2491.0,2506.0,2496.0
